,genres,name,popularity,id,genre
0,"['contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'modern jazz piano']",Brad Mehldau,55,2vI9KFm0fwSfPrpEgOeIbq,jazz
1,"['contemporary jazz', 'jazz', 'jazz drums', 'straight-ahead jazz']",Ari Hoenig,39,1P6Llrp12ldpVbyC8gCHBz,jazz
2,"['contemporary jazz', 'contemporary post-bop', 'jazz', 'jazz fusion', 'jazz guitar']",Kurt Rosenwinkel,41,253GMpCNwx1TJtASNAeDoP,jazz
3,"['contemporary jazz', 'straight-ahead jazz']",Dayna Stephens,16,3Y8rffZJZVJgNWMM6ZVGin,jazz
4,"['austrian orchestra', 'classical', 'classical performance', 'orchestra']",Wiener Philharmoniker,70,003f4bk13c6Q3gAUXv7dGJ,classical
5,"['contemporary jazz', 'jazz saxophone']",Mark Turner,31,36kfddkWcVc6XrzNN9BsTP,jazz
6,"['modern folk rock', 'modern rock', 'pop rock', 'stomp and holler', 'uk americana']",Mumford & Sons,75,3gd8FJtBJtkRxdfbTu19U2,indie
7,"['neo mellow', 'pop rock', 'singer-songwriter']",John Mayer,82,0hEurMDQu99nJRq8pTxO14,pop
8,"['hip hop', 'pittsburgh rap', 'rap']",Mac Miller,87,4LLpKhyESsyAXpc4laK94U,hip hop
9,[],Noam Wiesenberg,3,0IV9EI5sd2rlMEoAvDg70M,jazz
10,"['pop', 'pop rock']",Maroon 5,89,04gDigrS5kc9YWfZHwBETP,pop
11,['alternative hip hop'],Gorillaz,82,3AA28KZvwAUcZuOKwyblJQ,pop